StudyName,StudyId,DeviceId,SensorId,Time,Accx,Accy,Accz
will-left,0,0,0,2016-03-18 15:33:04.653,-0.37817383,0.09448242,0.95581055
will-left,0,0,0,2016-03-18 15:33:04.698,-0.41625977,0.09643555,0.8791504
will-left,0,0,0,2016-03-18 15:33:04.717,-0.4255371,0.026855469,0.873291
will-left,0,0,0,2016-03-18 15:33:04.766,-0.41235352,0.08276367,0.8598633
will-left,0,0,0,2016-03-18 15:33:04.792,-0.4182129,0.059570313,0.8095703
will-left,0,0,0,2016-03-18 15:33:04.818,-0.39575195,0.009521484,0.8078613
will-left,0,0,0,2016-03-18 15:33:04.842,-0.3696289,-0.09863281,0.84936523
will-left,0,0,0,2016-03-18 15:33:04.891,-0.32055664,-0.092041016,0.94262695
will-left,0,0,0,2016-03-18 15:33:04.920,-0.3005371,0.039794922,0.9902344
will-left,0,0,0,2016-03-18 15:33:04.939,-0.40161133,-0.06323242,0.9526367
will-left,0,0,0,2016-03-18 15:33:04.991,-0.47070313,0.028808594,0.9296875
will-left,0,0,0,2016-03-18 15:33:05.021,-0.42260742,-0.013427734,0.9489746
will-left,0,0,0,2016-03-18 15:33:05.045,-0.39526367,0.020019531,0.921875
will-left,0,0,0,2016-03-18 15:33:05.092,-0.3659668,-0.14086914,0.9421387
will-left,0,0,0,2016-03-18 15:33:05.106,-0.3701172,-0.037597656,0.9042969
will-left,0,0,0,2016-03-18 15:33:05.141,-0.36938477,-0.08911133,0.89404297
will-left,0,0,0,2016-03-18 15:33:05.192,-0.39208984,-0.012939453,0.88134766
will-left,0,0,0,2016-03-18 15:33:05.206,-0.41796875,0.016357422,0.9489746
will-left,0,0,0,2016-03-18 15:33:05.243,-0.42260742,-0.075927734,0.9748535
will-left,0,0,0,2016-03-18 15:33:05.267,-0.3618164,-0.15698242,0.9182129
will-left,0,0,0,2016-03-18 15:33:05.322,-0.34570313,-0.13720703,0.8984375
will-left,0,0,0,2016-03-18 15:33:05.342,-0.36499023,-0.10424805,0.92407227
will-left,0,0,0,2016-03-18 15:33:05.367,-0.34521484,-0.18383789,0.9177246
will-left,0,0,0,2016-03-18 15:33:05.416,-0.36547852,-0.115234375,0.88916016
will-left,0,0,0,2016-03-18 15:33:05.442,-0.3564453,-0.115234375,0.9223633
will-left,0,0,0,2016-03-18 15:33:05.468,-0.34545898,-0.09448242,0.96606445
will-left,0,0,0,2016-03-18 15:33:05.519,-0.33911133,-0.09350586,0.9350586
will-left,0,0,0,2016-03-18 15:33:05.549,-0.29077148,-0.04663086,0.9304199
will-left,0,0,0,2016-03-18 15:33:05.574,-0.3232422,-0.05810547,0.9445801
